City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Odweyne,SO,9.4092,45.064,72.61,62,15,12.48,few clouds
172,Vangaindrano,MG,-23.35,47.6,70.32,81,71,5.01,broken clouds
173,Hofn,IS,64.2539,-15.2082,42.17,90,100,9.42,light rain
174,Santa Lucia,ES,27.9117,-15.5407,64.76,68,20,16.11,few clouds
175,Bengkulu,ID,-3.8004,102.2655,76.12,92,100,4.79,moderate rain
176,Samarai,PG,-10.6167,150.6667,81.68,81,67,11.3,broken clouds
177,Tuatapere,NZ,-46.1333,167.6833,48.27,84,53,8.25,light rain
178,Ponta Do Sol,PT,32.6667,-17.1,78.01,81,69,8.41,broken clouds
179,Makanya,TZ,-4.3667,37.8333,76.19,69,67,4.7,broken clouds
180,Basoko,CD,1.2391,23.616,74.89,87,94,1.88,overcast clouds
181,Faanui,PF,-16.4833,-151.75,78.35,68,20,17.34,few clouds
182,Stephenville,US,32.2207,-98.2023,73.76,23,0,3.69,clear sky
183,Sitka,US,57.0531,-135.33,42.03,92,100,5.97,overcast clouds
184,Lebu,CL,-37.6167,-73.65,55.62,68,92,18.01,overcast clouds
185,Alice Springs,AU,-23.7,133.8833,60.35,67,75,9.22,broken clouds
186,Nome,US,64.5011,-165.4064,10.6,90,15,7.05,few clouds
187,Kaitangata,NZ,-46.2817,169.8464,47.41,85,70,2.93,broken clouds
188,Wonthaggi,AU,-38.6044,145.5913,47.37,71,45,7.76,scattered clouds
189,Tarasovskiy,RU,48.7292,40.3636,45.01,58,2,5.06,clear sky
190,Ostrovnoy,RU,68.0531,39.5131,33.24,85,98,10.78,overcast clouds
191,Bethel,US,41.3712,-73.414,64.36,82,97,9.62,light rain
192,Amapa,BR,1.0,-52.0,83.39,66,64,1.01,broken clouds
193,Oriximina,BR,-1.7656,-55.8661,88.48,54,45,0.76,scattered clouds
194,Gusau,NG,12.1628,6.6614,84.79,17,39,8.52,scattered clouds
195,Barrow,US,71.2906,-156.7887,16.74,95,99,3.76,overcast clouds
196,Hualmay,PE,-11.0964,-77.6139,68.54,70,63,7.65,broken clouds
197,Mazara Del Vallo,IT,37.6641,12.588,66.36,74,100,6.73,overcast clouds
198,Leningradskiy,RU,69.3833,178.4167,-4.34,95,100,5.86,overcast clouds
199,Innisfail,AU,-17.5333,146.0333,72.39,94,41,4.18,scattered clouds
200,Balkanabat,TM,39.5108,54.3671,58.93,49,88,3.02,overcast clouds
201,Lamu,KE,-2.2717,40.902,80.82,83,60,13.27,broken clouds
202,Gandajika,CD,-6.75,23.95,78.06,59,98,1.14,overcast clouds
203,Nyurba,RU,63.2842,118.3319,21.11,89,100,8.59,overcast clouds
204,Saint-Francois,FR,46.4154,3.9054,58.44,88,0,4.61,clear sky
205,Krasnoselkup,RU,65.7,82.4667,12.78,96,92,6.6,overcast clouds
206,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.75,31,37,10.51,scattered clouds
207,Nur,PL,52.6683,22.3221,52.79,65,16,14.07,few clouds
208,Carbonia,IT,39.1672,8.5222,66.0,85,100,4.23,overcast clouds
209,Rincon,US,32.296,-81.2354,62.51,65,47,10.2,scattered clouds
210,Batemans Bay,AU,-35.7167,150.1833,51.1,80,30,4.43,scattered clouds
211,Likhoslavl,RU,57.1275,35.464,47.12,88,46,8.66,scattered clouds
212,Langham,CA,52.3668,-106.9679,33.64,38,10,16.17,clear sky
213,Bam,IR,29.106,58.357,70.66,23,26,3.67,scattered clouds
214,La Ronge,CA,55.1001,-105.2842,35.82,86,90,5.75,light rain
215,Iqaluit,CA,63.7506,-68.5145,37.13,69,90,20.0,light rain
216,Yokadouma,CM,3.5167,15.05,71.22,94,96,3.02,moderate rain
217,Alofi,NU,-19.0595,-169.9187,73.29,83,100,3.44,light rain
218,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,12.66,scattered clouds
219,Kahului,US,20.8947,-156.47,69.06,77,1,5.75,clear sky
220,Williams Lake,CA,52.1415,-122.1445,27.97,80,1,2.3,clear sky
221,Miramar,US,25.9873,-80.2323,81.05,67,46,4.0,scattered clouds
222,Buala,SB,-8.145,159.5921,79.72,83,95,7.87,overcast clouds
223,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.88,33,55,2.8,broken clouds
224,Rach Gia,VN,10.0167,105.0833,77.14,93,94,8.55,overcast clouds
225,Kaihua,CN,23.3687,104.28,59.2,99,100,3.98,overcast clouds
226,Tiznit,MA,29.5833,-9.5,68.58,49,0,4.94,clear sky
227,Mongoumba,CF,3.6415,18.5936,74.61,90,66,4.12,moderate rain
228,Provideniya,RU,64.3833,-173.3,12.63,85,99,11.3,overcast clouds
229,Marawi,PH,7.9986,124.2928,66.65,94,72,0.69,broken clouds
230,Shimoda,JP,34.6667,138.95,64.38,65,84,5.32,broken clouds
231,Mehamn,NO,71.0357,27.8492,38.01,76,85,2.46,overcast clouds
232,Charlottetown,CA,46.2352,-63.1267,53.89,70,40,0.0,scattered clouds
233,Talnakh,RU,69.4865,88.3972,17.1,96,100,1.74,light snow
234,Bandarbeyla,SO,9.4942,50.8122,79.3,78,25,12.88,light rain
235,Puerto Carreno,CO,6.189,-67.4859,88.12,60,85,4.65,moderate rain
236,Cayenne,GF,4.9333,-52.3333,84.54,65,73,6.69,broken clouds
237,Banes,CU,20.9625,-75.7186,91.35,48,75,7.05,broken clouds
238,Jambi,ID,-1.6,103.6167,74.37,97,61,0.63,broken clouds
239,Lluta,PE,-16.0147,-72.0142,62.87,27,62,11.63,broken clouds
240,Adrar,MR,20.5022,-10.0711,86.29,12,100,8.5,overcast clouds
241,Tual,ID,-5.6667,132.75,83.07,72,100,5.88,overcast clouds
242,Atar,MR,20.5169,-13.0499,89.71,22,86,10.18,overcast clouds
243,Kavieng,PG,-2.5744,150.7967,82.94,75,43,13.02,scattered clouds
244,Raga,SS,8.4596,25.678,80.53,53,69,5.66,broken clouds
245,Inhambane,MZ,-23.865,35.3833,71.58,78,20,5.99,few clouds
246,Bull Savanna,JM,17.8868,-77.5902,82.13,72,93,9.22,overcast clouds
247,Lorengau,PG,-2.0226,147.2712,81.55,79,83,6.26,broken clouds
248,Outlook,CA,51.5001,-107.0513,33.49,34,21,15.08,few clouds
249,Ancud,CL,-41.8697,-73.8203,58.53,46,0,2.84,clear sky
250,Westport,US,41.1415,-73.3579,65.75,94,86,1.01,light rain
251,Nadym,RU,65.5333,72.5167,9.52,92,100,18.14,overcast clouds
252,Fort Nelson,CA,58.8053,-122.7002,22.59,74,1,6.91,clear sky
253,Nakapiripirit,UG,1.9167,34.7833,73.47,53,96,6.49,overcast clouds
254,Pacific Grove,US,36.6177,-121.9166,67.6,91,20,1.99,few clouds
255,Torbay,CA,47.6666,-52.7314,52.57,46,20,9.22,few clouds
256,Okha,RU,53.5739,142.9478,29.28,58,91,18.95,overcast clouds
257,Popondetta,PG,-8.7537,148.2534,72.7,95,22,3.36,few clouds
258,Santa Cruz,BO,-17.8,-63.1667,92.66,65,75,10.36,broken clouds
259,Cape Canaveral,US,28.4058,-80.6048,75.97,62,1,11.5,clear sky
260,Souillac,MU,-20.5167,57.5167,73.78,78,40,4.61,scattered clouds
261,Villanueva De La Serena,ES,38.9766,-5.7974,65.82,94,100,9.73,moderate rain
262,San Andres,CO,12.5847,-81.7006,87.82,74,75,8.05,broken clouds
263,Upernavik,GL,72.7868,-56.1549,25.79,57,100,8.12,overcast clouds
264,Mezen,RU,65.8522,44.24,30.02,97,99,3.4,overcast clouds
265,Ranong,TH,9.9658,98.6348,77.65,87,100,1.54,overcast clouds
266,Baoding,CN,38.8511,115.4903,55.09,58,38,4.05,scattered clouds
267,Guerrero Negro,MX,27.9769,-114.0611,74.16,54,0,7.23,clear sky
268,Mehran,IR,33.1222,46.1646,78.28,26,96,12.24,overcast clouds
269,San Matias,BO,-16.3667,-58.4,101.05,27,61,5.64,broken clouds
270,Ishigaki,JP,24.3448,124.1572,76.03,76,40,14.32,scattered clouds
271,Albion,US,42.2431,-84.753,53.04,93,100,8.66,overcast clouds
272,Onega,RU,63.9061,38.1404,43.05,91,100,8.88,overcast clouds
273,Sehithwa,BW,-20.4667,22.7167,83.7,37,61,7.54,broken clouds
274,Meulaboh,ID,4.1363,96.1285,75.88,88,96,4.34,overcast clouds
275,Humboldt,US,40.6665,-123.9178,51.67,84,52,3.42,broken clouds
276,Kamyshla,RU,54.1169,52.1426,44.94,93,100,10.22,overcast clouds
277,Mana,GF,5.6592,-53.7767,83.77,69,41,7.94,scattered clouds
278,Pinotepa Nacional,MX,16.3167,-98.0167,86.22,61,99,3.74,overcast clouds
279,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,83,5,7.31,clear sky
280,Khash,IR,28.2211,61.2158,62.76,29,0,5.86,clear sky
281,Seoul,KR,37.5683,126.9778,53.04,90,0,2.3,clear sky
282,Bakchar,RU,57.0186,82.0711,26.28,53,100,8.3,overcast clouds
283,Yulara,AU,-25.2406,130.9889,58.84,88,100,5.75,light rain
284,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,8.05,few clouds
285,Umm Kaddadah,SD,13.6017,26.6876,91.17,19,35,8.93,scattered clouds
286,Aklavik,CA,68.2191,-135.0107,17.6,93,90,6.91,fog
287,Saint-Augustin,CA,51.226,-58.6502,52.84,34,10,7.31,clear sky
288,Rio Gallegos,AR,-51.6226,-69.2181,59.05,21,0,16.11,clear sky
289,Pilar,BR,-9.5972,-35.9567,85.93,52,38,10.76,scattered clouds
290,Tasiilaq,GL,65.6145,-37.6368,15.8,63,22,6.53,few clouds
291,Nakonde,ZM,-9.3421,32.745,73.42,43,85,5.06,overcast clouds
292,Qaanaaq,GL,77.484,-69.3632,2.53,51,0,8.25,clear sky
293,Asau,RO,46.4333,26.4,43.95,89,0,1.3,clear sky
294,Dillon,US,34.4166,-79.3712,64.29,56,74,10.51,broken clouds
295,Avera,US,33.194,-82.5271,62.71,58,70,14.36,broken clouds
296,Port-Cartier,CA,50.0334,-66.8654,50.22,44,62,4.36,broken clouds
297,Waipawa,NZ,-41.4122,175.5153,57.83,80,74,14.14,broken clouds
298,Grindavik,IS,63.8424,-22.4338,42.75,87,0,6.91,clear sky
299,Albert,FR,50.0009,2.651,53.8,93,0,6.91,clear sky
300,Venezuela,VE,8.0,-66.0,87.21,61,97,10.09,overcast clouds
301,Palmer,US,42.1584,-72.3287,60.85,91,90,1.99,light rain
302,Safranbolu,TR,41.2508,32.6942,49.03,51,0,2.28,clear sky
303,Bahia Honda,CU,22.9036,-83.1592,81.95,51,33,16.49,scattered clouds
304,Mahebourg,MU,-20.4081,57.7,73.69,78,40,4.61,scattered clouds
305,Yumen,CN,40.2833,97.2,39.63,41,11,6.71,few clouds
306,Hidalgotitlan,MX,17.7833,-94.6333,79.7,67,40,4.29,scattered clouds
307,Touros,BR,-5.1989,-35.4608,88.7,64,42,18.7,scattered clouds
308,Kuna,US,43.4918,-116.4201,59.2,70,1,9.22,clear sky
309,Bodden Town,KY,19.2833,-81.25,84.99,75,100,7.0,overcast clouds
310,Constitucion,CL,-35.3333,-72.4167,65.71,61,100,15.48,overcast clouds
311,Ugljevik,BA,44.6636,19.0203,42.17,72,0,0.94,clear sky
312,Abay,KZ,49.6311,72.8539,35.98,62,96,15.05,overcast clouds
313,Kudahuvadhoo,MV,2.6708,72.8944,82.6,77,18,13.24,few clouds
314,Sandwick,GB,60.0,-1.25,48.02,93,90,9.22,overcast clouds
315,Bac Giang,VN,21.2667,106.2,66.27,92,100,4.83,overcast clouds
316,Esperance,AU,-33.8667,121.9,53.44,71,2,15.93,clear sky
317,Sosnovo-Ozerskoye,RU,52.5249,111.5418,25.09,50,26,4.79,scattered clouds
318,Carnarvon,AU,-24.8667,113.6333,68.07,68,0,18.41,clear sky
319,Chake Chake,TZ,-5.2459,39.7666,75.87,82,76,7.0,broken clouds
320,Rocha,UY,-34.4833,-54.3333,73.71,71,100,10.0,overcast clouds
321,Cap Malheureux,MU,-19.9842,57.6142,73.89,74,5,2.77,clear sky
322,Baiao,BR,-2.7906,-49.6717,93.92,40,36,3.42,scattered clouds
323,Monrovia,LR,6.3005,-10.7969,78.57,83,94,7.38,light rain
324,Luderitz,NA,-26.6481,15.1594,61.09,87,1,7.02,clear sky
325,Havoysund,NO,70.9963,24.6622,36.48,69,83,4.05,broken clouds
